n avg model
2140000 39.543853271028 39.606442159232
2150000 39.552798139535 39.613782927470
2160000 39.557141666667 39.621088664892
2170000 39.562001843318 39.628359699994
2180000 39.573968807339 39.635596356694
2190000 39.579290410959 39.642798954415
2200000 39.582680909091 39.649967808171
2210000 39.584468778281 39.657103228642
2220000 39.590281981982 39.664205522260
2230000 39.597052914798 39.671274991281
2240000 39.599516071429 39.678311933862
2250000 39.602291555556 39.685316644134
2260000 39.606917699115 39.692289412274
2270000 39.613589427313 39.699230524577
2280000 39.618219298246 39.706140263522
2290000 39.628556331878 39.713018907843
2300000 39.634227826087 39.719866732591
2310000 39.639206926407 39.726684009199
2320000 39.643950000000 39.733471005550
2330000 39.652114163090 39.740227986031
2340000 39.655573504274 39.746955211598
2350000 39.673590638298 39.753652939835
2360000 39.673392372881 39.760321425009
2370000 39.677376371308 39.766960918130
2380000 39.680315126050 39.773571667004
2390000 39.684971548117 39.780153916287
2400000 39.694602500000 39.786707907539
2410000 39.699137759336 39.793233879278
2420000 39.707853719008 39.799732067024
2430000 39.715444444444 39.806202703357
2440000 39.721567213115 39.812646017961
2450000 39.727655510204 39.819062237672
2460000 39.730563414634 39.825451586526
2470000 39.736043724696 39.831814285805
2480000 39.744477419355 39.838150554078
2490000 39.749097188755 39.844460607253
2500000 39.753733600000 39.850744658612
2510000 39.757157768924 39.857002918856
2520000 39.763488888889 39.863235596150
2530000 39.766139920949 39.869442896156
2540000 39.768867716535 39.875625022081
2550000 39.777619607843 39.881782174709
2560000 39.782742187500 39.887914552444
2570000 39.789232684825 39.894022351346
2580000 39.790792248062 39.900105765165
2590000 39.800631660232 39.906164985382
2600000 39.802063076923 39.912200201239
2610000 39.809721072797 39.918211599779
2620000 39.814087786260 39.924199365876
2630000 39.819241064639 39.930163682268
2640000 39.824376515152 39.936104729594
2650000 39.828763773585 39.942022686420
2660000 39.832996240602 39.947917729276
2670000 39.839469662921 39.953790032683
2680000 39.844641791045 39.959639769186
2690000 39.851556133829 39.965467109382
2700000 39.856362222222 39.971272221948
2710000 39.860850184502 39.977055273673
2720000 39.866318382353 39.982816429484
2730000 39.869081318681 39.988555852472
2740000 39.874127007299 39.994273703922
2750000 39.880405818182 39.999970143339
2760000 39.885563768116 40.005645328472
2770000 39.892970397112 40.011299415341
2780000 39.922999280576 40.016932558263
2790000 39.929381362007 40.022544909876
2800000 39.933736428571 40.028136621161
2810000 39.941150889680 40.033707841469
2820000 39.945824113475 40.039258718543
2830000 39.950245229682 40.044789398541
2840000 39.954840140845 40.050300026059
2850000 39.959942456140 40.055790744151
2860000 39.964411888112 40.061261694356
2870000 39.971566550523 40.066713016711
2880000 39.977747222222 40.072144849780
2890000 39.980136332180 40.077557330672
2900000 39.984562068966 40.082950595058
2910000 39.988617869416 40.088324777195
2920000 39.993991095890 40.093680009946
2930000 39.999966552901 40.099016424794
2940000 40.003469387755 40.104334151867
2950000 40.009003389831 40.109633319952
2960000 40.013856081081 40.114914056518
2970000 40.021002020202 40.120176487728
2980000 40.023995302013 40.125420738461
2990000 40.028400000000 40.130646932328
3000000 40.030306000000 40.135855191691
3010000 40.034724252492 40.141045637676
3020000 40.038545033113 40.146218390192
3030000 40.044586798680 40.151373567946
3040000 40.048376973684 40.156511288462
3050000 40.051173114754 40.161631668091
3060000 40.056235947712 40.166734822033
3070000 40.061254723127 40.171820864348
3080000 40.065922077922 40.176889907971
3090000 40.071631715210 40.181942064727
3100000 40.072666451613 40.186977445349
3110000 40.077726688103 40.191996159487
3120000 40.080774358974 40.196998315725
3130000 40.084545047923 40.201984021594
3140000 40.085129936306 40.206953383584
3150000 40.090930793651 40.211906507162
3160000 40.093851265823 40.216843496780
3170000 40.121088958991 40.221764455889
3180000 40.124316352201 40.226669486954
3190000 40.129270219436 40.231558691466
3200000 40.133574375000 40.236432169952
3210000 40.137218691589 40.241290021988
3220000 40.141601242236 40.246132346213
3230000 40.148047058824 40.250959240337
3240000 40.153153703704 40.255770801158
3250000 40.158508307692 40.260567124567
3260000 40.163007975460 40.265348305563
3270000 40.166201834862 40.270114438264
3280000 40.172997560976 40.274865615917
3290000 40.177578115502 40.279601930908
3300000 40.181060606061 40.284323474775
3310000 40.183732326284 40.289030338215
3320000 40.188233734940 40.293722611096
3330000 40.191796996997 40.298400382469
3340000 40.195856886228 40.303063740573
3350000 40.201700298507 40.307712772850
3360000 40.204418452381 40.312347565951
3370000 40.209486053412 40.316968205747
3380000 40.211113609467 40.321574777338
3390000 40.215325073746 40.326167365061
3400000 40.220936470588 40.330746052503
3410000 40.226499706745 40.335310922505
3420000 40.230774853801 40.339862057172
3430000 40.234465889213 40.344399537886
3440000 40.237600581395 40.348923445308
3450000 40.239776811594 40.353433859391
3460000 40.244808092486 40.357930859387
3470000 40.246590778098 40.362414523852
3480000 40.250165517241 40.366884930662
3490000 40.253696275072 40.371342157011
3500000 40.258940571429 40.375786279427
3510000 40.261752136752 40.380217373775
3520000 40.265646022727 40.384635515266
3530000 40.267774504249 40.389040778465
3540000 40.272389830508 40.393433237297
3550000 40.276099718310 40.397812965057
3560000 40.282222471910 40.402180034413
3570000 40.285535014006 40.406534517415
3580000 40.289215083799 40.410876485506
3590000 40.292402228412 40.415206009522
3600000 40.296902222222 40.419523159701
3610000 40.300468698061 40.423828005694
3620000 40.304118784530 40.428120616566
3630000 40.308377410468 40.432401060805
3640000 40.310910989011 40.436669406328
3650000 40.314990684932 40.440925720489
3660000 40.318089617486 40.445170070080
3670000 40.322973841962 40.449402521345
3680000 40.326782065217 40.453623139978
3690000 40.328547425474 40.457831991137
3700000 40.332572432432 40.462029139441
3710000 40.336736388140 40.466214648985
3720000 40.340699462366 40.470388583337
3730000 40.344653619303 40.474551005552
3740000 40.349573262032 40.478701978170
3750000 40.354673600000 40.482841563227
3760000 40.359281382979 40.486969822257
3770000 40.366596286472 40.491086816301
3780000 40.370058730159 40.495192605908
3790000 40.375950923483 40.499287251144
3800000 40.379587894737 40.503370811592
3810000 40.383716535433 40.507443346365
3820000 40.386789528796 40.511504914104
3830000 40.390045430809 40.515555572985
3840000 40.396288020833 40.519595380726
3850000 40.400762597403 40.523624394590
3860000 40.403597927461 40.527642671388
3870000 40.408265633075 40.531650267488
3880000 40.413268556701 40.535647238815
3890000 40.416933676093 40.539633640860
3900000 40.424052820513 40.543609528681
3910000 40.427306393862 40.547574956910
3920000 40.428979081633 40.551529979754
3930000 40.431350636132 40.555474651004
3940000 40.434356345178 40.559409024035
3950000 40.438457721519 40.563333151812
3960000 40.441772222222 40.567247086897
3970000 40.443433753149 40.571150881447
3980000 40.448125125628 40.575044587222
3990000 40.451277694236 40.578928255591
4000000 40.455672500000 40.582801937530
4010000 40.459773067332 40.586665683632
4020000 40.463576119403 40.590519544107
4030000 40.466498759305 40.594363568787
4040000 40.468058910891 40.598197807130
4050000 40.471428148148 40.602022308223
4060000 40.474633497537 40.605837120787
4070000 40.475994103194 40.609642293181
4080000 40.478969117647 40.613437873401
4090000 40.482501222494 40.617223909090
4100000 40.484106341463 40.621000447538
4110000 40.488613625304 40.624767535684
4120000 40.491382524272 40.628525220125
4130000 40.493664891041 40.632273547111
4140000 40.497319323671 40.636012562559
4150000 40.501709879518 40.639742312044
4160000 40.505983173077 40.643462840814
4170000 40.509991846523 40.647174193784
4180000 40.516042105263 40.650876415546
4190000 40.518184248210 40.654569550367
4200000 40.521685238095 40.658253642195
4210000 40.525747268409 40.661928734662
4220000 40.529877251185 40.665594871086
4230000 40.534461938534 40.669252094473
4240000 40.539069339623 40.672900447524
4250000 40.713768941176 40.676539972633
4260000 40.719446009390 40.680170711893
4270000 40.723617798595 40.683792707097
4280000 40.725866355140 40.687405999744
4290000 40.727990209790 40.691010631038
4300000 40.731230697674 40.694606641892
4310000 40.734558236659 40.698194072932
4320000 40.736254166667 40.701772964498
4330000 40.738965357968 40.705343356647
4340000 40.741256682028 40.708905289159
4350000 40.744674482759 40.712458801533
4360000 40.748703669725 40.716003932995
4370000 40.752007322654 40.719540722499
4380000 40.755552511416 40.723069208727
4390000 40.759493394077 40.726589430096
4400000 40.761956363636 40.730101424759
4410000 40.763947392290 40.733605230603
4420000 40.768275565611 40.737100885259
4430000 40.772195936795 40.740588426096
4440000 40.774638288288 40.744067890233
4450000 40.777392808989 40.747539314532
4460000 40.780681165919 40.751002735605
4470000 40.782174049217 40.754458189816
4480000 40.783958035714 40.757905713284
4490000 40.787024053452 40.761345341882
4500000 40.789598222222 40.764777111242
4510000 40.792120177384 40.768201056757
4520000 40.793622566372 40.771617213582
4530000 40.797508167770 40.775025616637
4540000 40.801992070485 40.778426300607
4550000 40.805667692308 40.781819299948
4560000 40.808825000000 40.785204648885
4570000 40.810147921225 40.788582381418
4580000 40.812537117904 40.791952531321
4590000 40.816011764706 40.795315132142
4600000 40.818631739130 40.798670217213
4610000 40.821304555315 40.802017819643
4620000 40.825153246753 40.805357972324
4630000 40.826477321814 40.808690707934
4640000 40.828513362069 40.812016058936
4650000 40.830556559140 40.815334057582
4660000 40.833683261803 40.818644735914
4670000 40.835933618844 40.821948125766
4680000 40.840270940171 40.825244258766
4690000 40.842639232409 40.828533166336
4700000 40.845056595745 40.831814879696
4710000 40.848629723992 40.835089429867
4720000 40.852379237288 40.838356847667
4730000 40.853039323467 40.841617163719
4740000 40.857205907173 40.844870408450
4750000 40.860351157895 40.848116612092
4760000 40.861803361345 40.851355804683
4770000 40.864753039832 40.854588016074
4780000 40.866375313808 40.857813275922
4790000 40.868972025052 40.861031613699
4800000 40.871204583333 40.864243058690
4810000 40.875167567568 40.867447639996
4820000 40.878436929461 40.870645386534
4830000 40.881043478261 40.873836327040
4840000 40.883526859504 40.877020490069
4850000 40.885354639175 40.880197904000
4860000 40.887346913580 40.883368597031
4870000 40.904351129363 40.886532597189
4880000 40.906555327869 40.889689932322
4890000 40.908453987730 40.892840630109
4900000 40.911559183673 40.895984718055
4910000 40.913758452138 40.899122223499
4920000 40.915472357724 40.902253173607
4930000 40.917477890467 40.905377595380
4940000 40.919566801619 40.908495515653
4950000 40.921759191919 40.911606961098
4960000 40.925558064516 40.914711958222
4970000 40.928604426559 40.917810533370
4980000 40.934704016064 40.920902712728
4990000 40.936943086172 40.923988522323
5000000 40.939691600000 40.927067988023
5010000 40.939881037924 40.930141135540
5020000 40.943892430279 40.933207990431
5030000 40.945491848907 40.936268578097
5040000 40.949018650794 40.939322923789
5050000 40.950894653465 40.942371052605
5060000 40.952558498024 40.945412989493
5070000 40.956296646943 40.948448759250
5080000 40.959268503937 40.951478386527
5090000 40.962516306483 40.954501895829
5100000 40.964981176471 40.957519311511
5110000 40.968021526419 40.960530657789
5120000 40.970375390625 40.963535958732
5130000 40.972529824561 40.966535238267
5140000 40.975081322957 40.969528520181
5150000 40.978563495146 40.972515828120
5160000 40.980710465116 40.975497185592
5170000 40.983278143133 40.978472615966
5180000 40.985508108108 40.981442142475
5190000 40.987320616570 40.984405788216
5200000 40.988746923077 40.987363576152
5210000 40.990602303263 40.990315529110
5220000 40.994669348659 40.993261669788
5230000 40.997942256214 40.996202020750
5240000 41.003044274809 40.999136604428
5250000 41.005236952381 41.002065443129
5260000 41.007414068441 41.004988559028
5270000 41.009514611006 41.007905974172
5280000 41.012279166667 41.010817710483
5290000 41.014733081285 41.013723789758
5300000 41.018244528302 41.016624233667
5310000 41.020442561205 41.019519063758
5320000 41.023627443609 41.022408301456
5330000 41.026619512195 41.025291968063
5340000 41.028047940075 41.028170084761
5350000 41.032489719626 41.031042672611
5360000 41.034242910448 41.033909752557
5370000 41.037012290503 41.036771345423
5380000 41.039112639405 41.039627471915
5390000 41.041420408163 41.042478152624
5400000 41.043272222222 41.045323408026
5410000 41.045875046211 41.048163258479
5420000 41.049342066421 41.050997724231
5430000 41.051795580111 41.053826825415
5440000 41.054402941176 41.056650582051
5450000 41.056002201835 41.059469014048
5460000 41.060211355311 41.062282141207
5470000 41.062516636197 41.065089983217
5480000 41.064348540146 41.067892559656
5490000 41.067269216758 41.070689889999
5500000 41.069025454545 41.073481993609
5510000 41.070678765880 41.076268889745
5520000 41.072517753623 41.079050597559
5530000 41.075414104882 41.081827136099
5540000 41.079286642599 41.084598524308
5550000 41.178250450450 41.087364781026
5560000 41.181088489209 41.090125924989
5570000 41.185118850987 41.092881974833
5580000 41.187541577061 41.095632949092
5590000 41.190262969589 41.098378866199
5600000 41.192537857143 41.101119744486
5610000 41.196561140820 41.103855602190
5620000 41.199764768683 41.106586457444
5630000 41.201860390764 41.109312328289
5640000 41.203051063830 41.112033232665
5650000 41.205076814159 41.114749188416
5660000 41.207240989399 41.117460213294
5670000 41.221045502646 41.120166324952
5680000 41.223787323944 41.122867540950
5690000 41.225151142355 41.125563878755
5700000 41.227388421053 41.128255355742
5710000 41.228853590193 41.130941989191
5720000 41.232618181818 41.133623796294
5730000 41.233894589878 41.136300794147
5740000 41.236209059233 41.138972999762
5750000 41.236418434783 41.141640430056
5760000 41.237828472222 41.144303101859
5770000 41.240447487002 41.146961031913
5780000 41.243428373702 41.149614236872
5790000 41.246080138169 41.152262733303
5800000 41.247565862069 41.154906537685
5810000 41.248677796902 41.157545666411
5820000 41.250000687285 41.160180135792
5830000 41.252862092624 41.162809962050
5840000 41.254663013699 41.165435161325
5850000 41.258174017094 41.168055749673
5860000 41.260360750853 41.170671743067
5870000 41.262559795571 41.173283157396
5880000 41.262179251701 41.175890008470
5890000 41.265906960951 41.178492312015
5900000 41.267721355932 41.181090083678
5910000 41.270485279188 41.183683339024
5920000 41.273100337838 41.186272093539
5930000 41.276562900506 41.188856362632
5940000 41.278165656566 41.191436161629
5950000 41.280776806723 41.194011505782
5960000 41.282515771812 41.196582410263
5970000 41.285229145729 41.199148890168
5980000 41.285951505017 41.201710960515
5990000 41.287342570952 41.204268636249
6000000 41.290296333333 41.206821932237
6010000 41.292912146423 41.209370863271
6020000 41.294648504983 41.211915444069
6030000 41.296762520730 41.214455689276
6040000 41.298741721854 41.216991613463
6050000 41.301744132231 41.219523231126
6060000 41.304231023102 41.222050556691
6070000 41.305990774300 41.224573604512
6080000 41.308775986842 41.227092388869
6090000 41.312606568145 41.229606923973
6100000 41.314653442623 41.232117223963
6110000 41.316295253682 41.234623302911
6120000 41.318779084967 41.237125174814
6130000 41.320540619902 41.239622853605
6140000 41.324651791531 41.242116353144
6150000 41.327536260163 41.244605687226
6160000 41.328512662338 41.247090869576
6170000 41.329863209076 41.249571913853
6180000 41.331306796117 41.252048833647
6190000 41.332965105008 41.254521642484
6200000 41.334922258065 41.256990353822
6210000 41.335833816425 41.259454981054
6220000 41.337099678457 41.261915537507
6230000 41.340842696629 41.264372036444
6240000 41.342595192308 41.266824491064
6250000 41.344217920000 41.269272914501
6260000 41.346911821086 41.271717319825
6270000 41.349494098884 41.274157720045
6280000 41.352807961783 41.276594128104
6290000 41.355142448331 41.279026556885
6300000 41.356854603175 41.281455019209
6310000 41.359768304279 41.283879527834
6320000 41.361076265823 41.286300095458
6330000 41.363750078989 41.288716734717
6340000 41.365537854890 41.291129458188
6350000 41.368761889764 41.293538278387
6360000 41.370703459119 41.295943207771
6370000 41.372345368917 41.298344258736
6380000 41.375366771160 41.300741443623
6390000 41.376045696401 41.303134774709
6400000 41.377710000000 41.305524264218
6410000 41.379945085803 41.307909924314
6420000 41.380670716511 41.310291767101
6430000 41.383136858476 41.312669804631
6440000 41.385658695652 41.315044048896
6450000 41.387862325581 41.317414511832
6460000 41.389106501548 41.319781205319
6470000 41.391245749614 41.322144141183
6480000 41.393879629630 41.324503331192
6490000 41.396520493066 41.326858787061
6500000 41.398525846154 41.329210520450
6510000 41.400317050691 41.331558542964
6520000 41.403362269939 41.333902866155
6530000 41.405518836141 41.336243501521
6540000 41.406979204893 41.338580460506
6550000 41.408307175573 41.340913754502
6560000 41.411213719512 41.343243394848
6570000 41.414228614916 41.345569392831
6580000 41.416471428571 41.347891759685
6590000 41.418028528073 41.350210506594
6600000 41.420733939394 41.352525644688
6610000 41.423243872920 41.354837185049
6620000 41.425841389728 41.357145138707
6630000 41.427387028658 41.359449516641
6640000 41.429298795181 41.361750329780
6650000 41.432503458647 41.364047589003
6660000 41.433441141141 41.366341305142
6670000 41.435137331334 41.368631488976
6680000 41.436089520958 41.370918151238
6690000 41.437063378176 41.373201302610
6700000 41.439649552239 41.375480953728
6710000 41.440253651267 41.377757115179
6720000 41.443175892857 41.380029797501
6730000 41.444491233284 41.382299011186
6740000 41.447790801187 41.384564766679
6750000 41.449202666667 41.386827074377
6760000 41.452803846154 41.389085944631
6770000 41.453161595273 41.391341387746
6780000 41.455376106195 41.393593413980
6790000 41.456592341679 41.395842033546
6800000 41.458210882353 41.398087256611
6810000 41.460148311307 41.400329093297
6820000 41.462768328446 41.402567553682
6830000 41.464478770132 41.404802647797
6840000 41.466400292398 41.407034385629
6850000 41.468114160584 41.409262777124
6860000 41.469531195335 41.411487832180
6870000 41.471609898108 41.413709560653
6880000 41.472855523256 41.415927972356
6890000 41.474392743106 41.418143077058
6900000 41.476085797101 41.420354884486
6910000 41.478641678726 41.422563404324
6920000 41.480641618497 41.424768646212
6930000 41.482526984127 41.426970619751
6940000 41.484809221902 41.429169334497
6950000 41.485893812950 41.431364799966
6960000 41.488875574713 41.433557025633
6970000 41.492463127690 41.435746020929
6980000 41.493146131805 41.437931795248
6990000 41.495442060086 41.440114357941
7000000 41.498721714286 41.442293718318
7010000 41.500477318117 41.444469885650
7020000 41.502224786325 41.446642869167
7030000 41.504416500711 41.448812678060
7040000 41.507324147727 41.450979321481
7050000 41.508676595745 41.453142808540
7060000 41.510440509915 41.455303148312
7070000 41.513215275813 41.457460349829
7080000 41.514862994350 41.459614422087
7090000 41.516776304654 41.461765374042
7100000 41.519474647887 41.463913214613
7110000 41.521239099859 41.466057952680
7120000 41.523116853933 41.468199597086
7130000 41.524578120617 41.470338156636
7140000 41.526342296919 41.472473640097
7150000 41.527178181818 41.474606056200
7160000 41.530083240223 41.476735413639
7170000 41.533566248257 41.478861721070
7180000 41.536642896936 41.480984987114
7190000 41.538099026426 41.483105220354
7200000 41.540917222222 41.485222429338
7210000 41.542914840499 41.487336622578
7220000 41.544485041551 41.489447808550
7230000 41.545036237898 41.491555995695
7240000 41.546810497238 41.493661192418
7250000 41.549278344828 41.495763407089
7260000 41.550984297521 41.497862648043
7270000 41.552127922971 41.499958923580
7280000 41.554677197802 41.502052241967
7290000 41.556707818930 41.504142611434
7300000 41.558622191781 41.506230040180
