n mean median p90 p99 p999 max
1575000 40.01680000 21 94 293 608 998
1585000 40.79760000 22 95 303 758 2048
1595000 40.15820000 22 93 310 632 1082
1605000 41.08060000 21 95 305 800 1839
1615000 40.34280000 21 94 296 716 2354
1625000 40.20140000 21 93 302 674 2762
1635000 40.71040000 21 95 311 698 1718
1645000 39.94260000 22 92 287 641 1502
1655000 40.18480000 22 94 293 632 1376
1665000 40.75720000 21 94 311 680 1331
1675000 41.28360000 21 98 318 653 995
1685000 41.40260000 22 95 337 800 1115
1695000 40.02040000 21 93 284 764 2078
1705000 40.13100000 22 94 303 662 1577
1715000 39.98960000 22 94 293 636 998
1725000 40.89760000 22 97 296 683 1871
1735000 40.08300000 21 94 296 701 1733
1745000 41.09500000 22 97 305 746 1301
1755000 40.00840000 22 92 302 680 1268
1765000 40.06620000 22 93 291 698 1586
1775000 40.70000000 21 95 329 701 1109
1785000 40.93600000 22 94 311 690 1145
1795000 41.19180000 22 94 329 641 1247
1805000 39.95420000 22 94 296 653 926
1815000 40.40860000 22 94 284 647 1850
1825000 40.70040000 21 92 320 710 1880
1835000 40.78360000 22 95 311 677 2220
1845000 40.94380000 22 93 323 734 1451
1855000 40.86600000 22 95 298 716 1985
1865000 40.70540000 22 95 296 626 1310
1875000 39.95500000 22 92 296 581 1607
1885000 40.72860000 22 94 311 695 1745
1895000 40.42700000 21 94 305 701 1130
1905000 40.46620000 22 94 298 718 1514
1915000 40.34160000 22 95 303 620 1970
1925000 40.42660000 21 94 317 669 1373
1935000 40.94260000 22 96 312 668 1418
1945000 40.86420000 21 94 308 800 1059
1955000 40.58720000 22 95 305 737 2549
1965000 40.06060000 22 92 302 599 911
1975000 41.51760000 22 98 302 716 3383
1985000 39.89120000 22 95 287 683 1499
1995000 40.24840000 22 93 293 647 1754
2005000 41.28780000 22 99 308 641 2306
2015000 40.06300000 21 95 284 656 1103
2025000 40.37560000 22 92 309 716 1964
2035000 41.19240000 22 95 312 764 1355
2045000 40.48520000 21 94 302 683 1619
2055000 40.83880000 22 94 326 653 1808
2065000 40.49700000 22 94 302 710 1184
2075000 40.71500000 22 94 305 654 1082
2085000 40.56520000 22 94 302 725 953
2095000 40.48320000 21 94 314 701 1457
2105000 40.91440000 22 94 329 683 1730
2115000 40.84600000 22 95 305 708 1256
2125000 40.97460000 22 97 296 662 1754
2135000 39.68780000 21 93 293 617 1331
2145000 41.46700000 22 98 323 674 1499
2155000 40.49100000 22 95 302 641 1115
2165000 40.61180000 22 94 317 662 956
2175000 42.17080000 22 101 305 821 1920
2185000 40.73940000 22 94 305 701 2279
2195000 40.32520000 22 94 284 599 2129
2205000 39.97780000 22 93 284 566 1082
2215000 40.87500000 22 97 298 683 977
2225000 41.10020000 22 94 311 653 2129
2235000 40.14880000 22 93 302 617 1397
2245000 40.22400000 22 94 302 641 1730
2255000 40.64780000 22 95 308 639 1838
2265000 41.12140000 22 95 308 653 1511
2275000 40.66920000 21 94 311 680 926
2285000 41.98540000 22 97 314 827 1667
2295000 40.93300000 22 94 314 653 1514
2305000 40.78440000 22 96 303 701 1436
2315000 40.73960000 22 94 302 674 1550
2325000 41.54620000 22 95 314 771 1754
2335000 40.46160000 22 95 297 618 1289
2345000 43.88960000 22 97 331 806 24476
2355000 39.62680000 22 93 284 638 1322
2365000 40.61760000 22 96 298 683 1229
2375000 40.37680000 22 94 293 662 1208
2385000 40.79320000 22 95 302 683 1115
2395000 41.99640000 22 97 329 768 1754
2405000 40.78760000 22 94 290 701 1625
2415000 41.80840000 22 95 314 746 1499
2425000 41.55240000 22 98 327 791 1541
2435000 41.20940000 22 95 310 734 1157
2445000 41.21320000 22 95 314 638 2090
2455000 40.44300000 22 93 293 674 1964
2465000 41.08420000 22 94 326 767 2210
2475000 41.82760000 22 95 323 815 1808
2485000 40.89480000 22 97 298 708 1103
2495000 40.90820000 22 98 298 669 1355
2505000 40.61320000 22 96 305 653 1661
2515000 41.35260000 22 97 317 611 1268
2525000 40.43420000 22 96 296 603 1049
2535000 40.45900000 22 95 300 599 1877
2545000 42.00060000 22 98 320 800 1520
2555000 41.08900000 22 95 335 701 1310
2565000 41.45080000 22 94 305 809 1583
2575000 40.19160000 22 93 298 636 991
2585000 42.33920000 22 97 344 788 1901
2595000 40.17280000 22 94 293 623 1436
2605000 41.80080000 22 101 314 674 1115
2615000 40.95380000 22 96 298 668 1325
2625000 41.16940000 22 94 302 695 1604
2635000 41.17500000 22 98 309 653 1472
2645000 40.98700000 22 96 302 669 1808
