n mean median p90 p99 p999 max
6695000 43.16980000 22 103 332 704 1257
6705000 41.84500000 22 97 302 662 1569
6715000 43.40400000 22 103 323 701 1640
6725000 42.32840000 22 101 314 662 1199
6735000 43.66840000 22 102 341 849 1310
6745000 42.40080000 22 101 305 755 1661
6755000 43.88360000 22 102 350 716 1397
6765000 41.69500000 22 101 296 674 1247
6775000 42.95460000 22 103 327 809 1268
6785000 42.28120000 22 99 320 617 989
6795000 42.55720000 22 102 319 692 1586
6805000 42.77760000 22 102 323 704 1094
6815000 43.24700000 22 101 344 674 1236
6825000 42.63100000 22 101 329 746 1010
6835000 42.77880000 22 101 323 683 1874
6845000 42.64040000 22 101 311 764 2363
6855000 42.44020000 22 99 319 722 1292
6865000 42.89760000 22 102 323 641 1217
6875000 42.32860000 22 99 305 659 1205
6885000 42.53200000 22 98 314 854 2108
6895000 42.64260000 22 101 311 698 1499
6905000 43.24220000 22 104 311 680 2363
6915000 42.86260000 22 97 317 821 2591
6925000 42.78720000 22 103 305 749 1217
6935000 43.06640000 22 103 319 681 1481
6945000 42.23860000 22 99 312 674 1523
6955000 43.56120000 22 104 331 746 1313
6965000 43.98940000 22 105 320 689 1481
6975000 41.96920000 22 98 308 653 1709
6985000 43.09800000 22 101 332 701 1670
6995000 43.79120000 22 104 344 722 1010
7005000 42.72940000 22 103 317 653 1565
7015000 42.72720000 22 101 314 746 1272
7025000 43.04300000 22 104 319 713 989
7035000 43.55140000 22 106 320 674 1439
7045000 42.46080000 22 101 339 716 1793
7055000 42.75400000 22 102 313 758 1319
7065000 43.47220000 22 104 326 635 1481
7075000 42.67980000 22 102 329 683 1055
7085000 42.87140000 22 103 314 669 1082
7095000 43.43260000 22 104 331 695 1625
7105000 42.77400000 22 99 338 692 2423
7115000 42.85820000 22 101 314 797 1607
7125000 42.56500000 22 103 309 641 1814
7135000 42.78420000 22 101 316 737 1481
7145000 42.12400000 22 101 309 698 1004
7155000 43.60720000 22 103 321 716 1808
7165000 44.02740000 22 104 344 764 2102
7175000 43.74260000 22 103 347 746 1481
7185000 42.58360000 22 101 305 683 1061
7195000 43.56720000 22 101 332 830 1943
7205000 42.98120000 22 101 323 698 2048
7215000 42.67660000 22 101 311 816 1304
7225000 41.94300000 22 101 303 687 1178
7235000 42.82960000 22 102 295 809 2456
7245000 43.33600000 22 101 341 692 1031
7255000 42.78780000 22 102 323 687 974
7265000 42.38240000 22 99 311 743 1388
7275000 43.40800000 22 101 332 743 2741
7285000 43.03500000 22 101 337 753 1964
7295000 42.95420000 22 101 332 680 1355
7305000 42.47860000 22 101 311 662 1103
7315000 41.91720000 22 101 302 662 1367
7325000 42.22660000 22 102 302 656 1415
7335000 42.49780000 22 98 323 716 953
7345000 42.25260000 22 103 305 654 1667
7355000 43.28180000 22 101 338 764 1640
7365000 43.04860000 22 99 345 723 1607
7375000 43.62840000 22 106 321 795 1544
7385000 42.87080000 22 102 320 746 1154
7395000 41.94700000 22 101 302 674 1730
7405000 43.86000000 22 101 347 638 1850
7415000 43.38460000 22 104 317 689 1289
7425000 42.90700000 22 99 341 737 1283
7435000 42.83400000 22 102 311 662 998
7445000 43.33640000 22 106 317 617 1436
7455000 43.28500000 22 103 338 723 1193
7465000 43.13520000 22 102 322 779 1416
7475000 42.52820000 22 99 308 785 1901
7485000 42.44260000 22 103 314 641 1115
7495000 44.04360000 22 104 338 704 1229
7505000 42.42280000 22 96 305 788 1712
7515000 42.46240000 22 102 305 695 1262
7525000 42.97860000 22 98 332 708 2234
7535000 43.05080000 22 104 314 785 1244
7545000 41.91400000 22 97 309 653 1381
7555000 43.11540000 22 104 311 617 1739
7565000 43.06460000 22 101 326 692 1691
7575000 43.35820000 22 101 344 809 1331
7585000 43.57980000 22 103 330 746 2066
7595000 42.50320000 22 101 311 695 1754
7605000 43.03660000 22 102 332 818 1254
7615000 43.23000000 22 104 317 716 1250
7625000 43.16000000 22 103 314 710 1856
7635000 43.45240000 22 102 326 788 2342
7645000 43.75320000 22 101 338 797 1559
7655000 43.04060000 22 101 338 662 1367
7665000 43.37620000 22 103 338 673 1268
7675000 43.19100000 22 102 329 740 1325
7685000 42.72040000 22 101 317 641 998
7695000 42.56560000 22 101 305 674 1502
7705000 42.65400000 22 102 317 627 2297
7715000 42.75620000 22 101 309 725 1268
7725000 43.68580000 22 102 331 785 1523
7735000 42.88500000 22 104 320 620 1436
7745000 43.66580000 22 101 344 746 1514
7755000 43.16920000 22 101 338 821 1541
7765000 42.73500000 22 101 311 708 1059
7775000 43.52740000 22 103 338 704 1031
7785000 42.58240000 22 102 302 606 1616
7795000 42.15900000 22 101 311 617 929
7805000 43.04480000 22 101 332 821 1373
7815000 42.69580000 22 103 317 638 1226
7825000 43.66260000 22 104 321 797 1445
7835000 43.09580000 22 102 332 683 1268
7845000 42.84940000 22 103 323 662 1058
7855000 42.47340000 22 102 317 680 1181
7865000 43.44220000 22 102 337 744 1250
7875000 41.83000000 22 101 296 762 1391
7885000 43.61700000 22 104 323 809 1604
7895000 44.05400000 22 103 347 800 1451
7905000 43.51720000 22 103 330 680 1412
7915000 42.16500000 22 101 305 653 1079
7925000 43.74380000 22 102 346 764 2066
7935000 42.38560000 22 101 317 662 1013
7945000 43.95180000 22 103 326 737 1544
7955000 42.58660000 22 101 305 809 1808
7965000 43.71040000 22 104 317 734 3170
7975000 42.65100000 22 99 303 669 2018
7985000 43.33040000 22 101 317 758 1310
7995000 42.97720000 22 102 337 704 998
8005000 43.20000000 22 103 317 722 1121
8015000 43.10960000 22 102 321 878 1319
8025000 43.20580000 22 104 317 641 2186
8035000 43.03020000 22 101 326 701 2048
8045000 43.38880000 22 103 344 704 1104
8055000 42.85240000 22 104 317 683 1208
8065000 43.66560000 22 103 338 746 1175
8075000 43.84400000 22 103 344 683 2048
8085000 43.03060000 22 103 326 674 3098
8095000 42.84900000 22 104 302 698 953
8105000 43.28960000 22 102 326 704 1268
8115000 42.58300000 22 101 326 701 1010
8125000 43.11120000 22 103 314 746 1208
8135000 43.19260000 22 102 320 746 1563
8145000 42.74380000 22 102 310 641 1499
8155000 42.61560000 22 103 312 641 1376
8165000 42.62480000 22 101 309 698 1454
8175000 42.97240000 22 102 317 674 1340
8185000 42.54660000 22 101 314 722 1730
8195000 43.36820000 22 104 335 758 1850
8205000 43.80220000 22 102 329 806 1754
8215000 43.54200000 22 101 326 834 1772
8225000 43.06540000 22 101 333 662 1646
8235000 42.65860000 22 102 311 620 1292
8245000 43.39200000 22 102 338 683 1208
8255000 43.38980000 22 101 345 677 1154
8265000 43.43500000 22 106 335 746 989
8275000 42.62160000 22 101 311 743 1373
8285000 43.64900000 22 102 330 687 2138
8295000 42.99100000 22 101 323 704 3299
8305000 42.70620000 22 101 317 743 1856
8315000 43.14340000 22 102 314 758 1262
8325000 42.98560000 22 101 323 653 1565
8335000 43.83360000 22 103 347 746 1913
8345000 42.66620000 22 101 308 668 1229
8355000 42.96100000 22 101 332 764 1334
8365000 43.50420000 22 102 331 815 1331
8375000 43.55660000 22 102 323 740 1340
8385000 43.46260000 22 104 339 599 1164
8395000 43.63740000 22 101 354 746 2066
8405000 42.52720000 22 101 314 656 1016
8415000 42.88360000 22 102 317 704 1076
8425000 42.44460000 22 102 305 690 1115
8435000 43.57280000 22 101 326 827 1850
8445000 43.44700000 22 103 338 698 1367
8455000 43.02960000 22 103 317 746 1661
8465000 42.75740000 22 101 311 752 1499
8475000 43.46260000 22 103 317 863 1817
8485000 43.30140000 22 102 317 704 2312
8495000 42.88720000 22 101 302 662 2531
8505000 42.83020000 22 104 320 701 1331
8515000 42.82440000 22 102 332 674 1262
8525000 43.13900000 22 103 316 689 1166
8535000 43.60240000 22 103 331 764 1220
8545000 43.03320000 22 101 317 683 1496
8555000 42.69080000 22 97 326 683 2237
8565000 43.01320000 22 103 320 614 1632
8575000 42.99120000 22 102 312 716 2339
8585000 43.60720000 22 105 317 761 1343
8595000 43.17280000 22 103 332 755 1271
8605000 43.75320000 22 102 347 809 1394
8615000 43.38980000 22 101 347 794 1607
8625000 43.34200000 22 103 317 744 1331
8635000 42.48900000 22 103 302 779 1163
8645000 43.00580000 22 101 329 647 1964
8655000 43.01200000 22 103 341 683 1793
8665000 42.46920000 22 102 309 634 1320
8675000 43.56100000 22 101 347 759 1388
8685000 43.90000000 22 103 335 725 1556
8695000 44.41320000 22 103 367 860 1817
8705000 43.06220000 22 103 311 680 995
8715000 41.81920000 22 103 287 677 1058
8725000 43.71480000 22 101 353 842 1667
8735000 43.38980000 22 102 326 716 1142
8745000 42.51820000 22 101 311 690 1496
8755000 43.13040000 22 103 303 683 2174
8765000 43.29400000 22 104 310 719 1394
8775000 43.82080000 22 103 347 719 1667
8785000 44.20560000 22 103 348 797 1227
8795000 42.57620000 22 101 302 809 1145
8805000 42.67060000 22 103 314 668 1187
8815000 43.41420000 22 104 316 795 1346
8825000 43.38140000 22 103 326 704 1373
8835000 43.83880000 22 103 341 731 1961
8845000 43.00680000 22 103 317 717 2216
8855000 43.36900000 22 103 335 761 1871
8865000 42.74080000 22 101 314 604 1572
8875000 42.59400000 22 101 330 662 2396
8885000 43.07840000 22 101 326 716 1058
8895000 42.74200000 22 102 305 683 1241
8905000 43.84740000 22 103 348 659 1614
8915000 43.05920000 22 101 314 686 977
8925000 43.32940000 22 102 320 722 1661
8935000 43.28040000 22 101 329 764 1265
8945000 43.51660000 22 106 311 634 1661
8955000 43.45720000 22 102 341 753 1478
8965000 43.86660000 22 103 353 716 1205
8975000 42.65000000 22 102 317 617 1418
8985000 42.49420000 22 101 326 716 1244
8995000 43.68600000 22 106 319 809 1226
9005000 43.07000000 22 103 326 668 1709
9015000 43.24120000 22 103 320 617 1061
9025000 43.20120000 22 103 311 767 1322
9035000 43.27360000 22 103 320 653 1136
9045000 43.45180000 22 102 341 701 1109
9055000 42.48960000 22 99 314 683 2102
9065000 73.38320000 22 101 310 719 306506
9075000 43.52260000 22 104 337 650 1103
9085000 43.32900000 22 102 335 674 1187
9095000 42.87020000 22 101 326 683 1373
9105000 43.60480000 22 104 319 722 1775
9115000 43.38240000 22 101 326 662 2081
9125000 43.05160000 22 102 316 803 1454
9135000 43.43800000 22 102 311 797 1803
9145000 43.69380000 22 103 337 662 1109
9155000 42.99800000 22 101 314 764 1472
9165000 42.79120000 22 101 320 683 1136
9175000 44.07960000 22 106 347 638 911
9185000 43.59920000 22 103 329 725 1871
9195000 43.20460000 22 103 329 599 1094
9205000 43.37400000 22 102 341 726 1353
9215000 43.97440000 22 102 332 755 1667
9225000 43.61020000 22 103 317 764 1730
9235000 43.09140000 22 101 347 704 956
9245000 42.92480000 22 102 323 704 1241
9255000 44.44660000 22 106 338 800 1262
9265000 43.27440000 22 101 326 809 1499
9275000 43.06760000 22 102 332 683 1241
9285000 42.87640000 22 98 326 753 863
9295000 44.26920000 22 104 353 732 2459
9305000 42.68380000 22 99 317 701 1646
9315000 42.72880000 22 101 319 647 1499
9325000 43.95660000 22 105 341 653 1079
9335000 43.62680000 22 102 332 768 1499
9345000 43.37680000 22 101 347 683 1214
9355000 43.43160000 22 103 338 692 1214
9365000 43.96340000 22 104 319 743 1964
9375000 44.08420000 22 103 335 746 1481
9385000 42.69000000 22 101 317 722 1829
9395000 44.02780000 22 104 338 725 1409
9405000 43.36660000 22 102 340 653 2012
9415000 43.69020000 22 103 331 728 968
9425000 42.93140000 22 102 308 737 1166
9435000 43.27540000 22 101 320 717 2174
9445000 43.63020000 22 104 332 716 1667
9455000 44.00660000 22 106 331 632 1796
9465000 42.87820000 22 101 309 746 1506
9475000 43.21860000 22 103 311 701 1229
9485000 43.16680000 22 102 325 683 1622
9495000 43.35040000 22 103 314 746 1409
9505000 43.01280000 22 103 334 701 1094
9515000 43.02920000 22 102 338 694 1262
9525000 44.06140000 22 102 347 752 1433
9535000 42.76380000 22 102 309 683 2321
9545000 43.23920000 22 102 332 683 1601
9555000 43.39000000 22 103 329 716 1583
9565000 43.45200000 22 101 332 821 1583
9575000 42.83740000 22 103 338 669 1058
9585000 44.15500000 22 104 338 822 1376
9595000 43.10460000 22 102 314 719 1877
9605000 43.58480000 22 103 335 746 1499
9615000 43.15720000 22 103 317 680 1460
9625000 43.88340000 22 104 317 821 2339
9635000 42.60860000 22 98 335 719 2174
9645000 43.21420000 22 103 317 779 1103
9655000 43.82760000 22 104 326 737 1460
9665000 43.29520000 22 103 331 632 1163
9675000 43.46860000 22 106 331 680 1730
9685000 43.86300000 22 102 333 716 2066
9695000 44.26220000 22 104 347 911 2045
9705000 42.59020000 22 101 314 704 1268
9715000 44.36040000 22 104 347 800 1478
9725000 43.14440000 22 104 314 704 1184
9735000 42.77560000 22 101 317 599 1068
9745000 42.38400000 22 101 302 669 1334
9755000 44.12440000 22 105 335 752 1136
9765000 43.47340000 22 104 323 716 995
9775000 43.41480000 22 102 337 747 1724
9785000 43.51220000 22 103 312 800 1115
9795000 43.87180000 22 102 333 791 1730
9805000 43.66800000 22 104 321 734 1964
9815000 43.55240000 22 106 317 746 1436
9825000 43.53940000 22 101 338 767 1481
9835000 43.77360000 22 106 329 785 1415
9845000 42.71380000 22 101 305 734 2237
9855000 43.70140000 22 104 326 746 1502
9865000 42.02220000 22 101 303 596 1649
9875000 44.30360000 22 104 353 695 1607
9885000 43.58320000 22 104 338 683 1739
9895000 43.76580000 22 105 341 680 1808
9905000 42.92120000 22 102 317 701 1124
9915000 42.34180000 22 101 314 668 1301
9925000 43.27320000 22 102 338 708 1058
9935000 43.24780000 22 103 314 749 1229
9945000 43.76980000 22 104 318 687 2675
9955000 43.35600000 22 102 338 704 1535
9965000 43.54700000 22 102 323 785 1712
9975000 43.80100000 22 103 332 779 1499
9985000 43.71660000 22 103 340 764 1796
9995000 45.17000000 22 106 359 771 1754
