# largest_d
rank	n	d	H	H_digits	log10_H_over_n	xs
10	164272	1481	899318177035988	15	9.738349826792	-899318177035988,899318177035987,23368769356300,-23368769354819
11	2348483	24476	7056223829085407	16	9.477784927715	-7056223829085406,7056223829085407,-45102656940193,45102656915717
12	4540000	2129	5225827974573293	16	9.061099256529	5225827974573292,-5225827974573293,-113257580245235,113257580247364
13	8290894	3299	7679995292785463	16	8.966759591167	-7679995292785463,7679995292785462,133711818735046,-133711818731747
14	1478957	2396	1022086289761073	16	8.839532015445	1022086289761073,-1022086289761072,-20880656829907,20880656827511
15	1561172	1289	677377151794235	15	8.637379790125	-677377151794234,677377151794235,-18867053674474,18867053673185
16	3642944	1409	1288631529190814	16	8.548676257866	-1288631529190813,1288631529190814,34329956770082,-34329956771491
17	2399639	1754	836627315416919	15	8.542386128280	836627315416919,-836627315416918,-19976400914068,19976400912314
18	764376	421	186221665390667	15	8.386723163700	186221665390667,-186221665390666,-9075888636531,9075888636110
19	4866277	60794	884295880805411	15	8.259400775637	884295880805410,-884295880805411,3586470360868,-3586470300074
20	7665900	673	531796858776494	15	7.841182618030	-531796858776493,531796858776494,-20499262445103,20499262444430
