# largest_d
rank	n	d	H	d_score	log10_H_over_n	line
7	28875326	218663	62789439812725369662290644318566142841670653	31285.5640063	36.3373597124	28875326 = (-62789439812725369662290644318566142841670652)^3 + (62789439812725369662290644318566142841670653)^3 + (-134276173738386201235856118303615671046199)^3 + (134276173738386201235856118303615670827536)^3
8	424484014	1890905	37008265096399390231005769596959474319560	245383.420332	31.9404373869	424484014 = (37008265096399390231005769596959474319559)^3 + (-37008265096399390231005769596959474319560)^3 + (26913109057467297459685856346096885007)^3 + (-26913109057467297459685856346094994102)^3
9	584188196	94217	23848391954260476017692586250063083	12097.2453796	25.6109063234	584188196 = (-23848391954260476017692586250063082)^3 + (23848391954260476017692586250063083)^3 + (77695249387095372852021003974753)^3 + (-77695249387095372852021004068970)^3
10	200441272	1539353	491320336729200999889914001555406	204969.634889	24.3893775907	200441272 = (491320336729200999889914001555405)^3 + (-491320336729200999889914001555406)^3 + (396000404567389433127786127294)^3 + (-396000404567389433127784587941)^3
11	280405580	73769	54622327742094706430685638031458	9708.83790494	23.289583552	280405580 = (-54622327742094706430685638031457)^3 + (54622327742094706430685638031458)^3 + (-201109809957434011832533890715)^3 + (201109809957434011832533816946)^3
12	776436395	326816	421646740043179111921477605590	41573.1085539	20.7348428624	776436395 = (-421646740043179111921477605589)^3 + (421646740043179111921477605590)^3 + (737559551946108889456332854)^3 + (-737559551946108889456659670)^3
13	300289262	305081	13360131266750645608565881598	40057.8821783	19.6482709226	300289262 = (-13360131266750645608565881597)^3 + (13360131266750645608565881598)^3 + (24188177369711233900599236)^3 + (-24188177369711233900904317)^3
14	553061282	92513	288669551246058614345442278	11899.9783263	17.7176277211	553061282 = (288669551246058614345442278)^3 + (-288669551246058614345442277)^3 + (-949072948545333204015433)^3 + (949072948545333203922920)^3
15	587597252	3089	277984923625888578080335646	396.544304581	17.6749414867	587597252 = (-277984923625888578080335645)^3 + (277984923625888578080335646)^3 + (5001638377194907810280105)^3 + (-5001638377194907810283194)^3
16	984206885	1774796	184787828980728235750426328	224042.231822	17.2735869643	984206885 = (-184787828980728235750426327)^3 + (184787828980728235750426328)^3 + (-138707243914761671520133)^3 + (138707243914761669745337)^3
17	172116347	3042818	63747168714622448670036755	407337.623885	17.5686387806	172116347 = (-63747168714622448670036754)^3 + (63747168714622448670036755)^3 + (-36544574725988720884576)^3 + (36544574725988717841758)^3
18	46542353	425966	10306091098397125165992344	59828.561059	17.3452456412	46542353 = (-10306091098397125165992343)^3 + (10306091098397125165992344)^3 + (15790886396640858294572)^3 + (-15790886396640858720538)^3
19	52131964	342161	3930792419978165577493262	47850.8832617	16.8773760232	52131964 = (-3930792419978165577493262)^3 + (3930792419978165577493261)^3 + (6719931663540170146471)^3 + (-6719931663540169804310)^3
20	321091376	625025	1347931773251456871952751	81879.6951132	15.6230392693	321091376 = (-1347931773251456871952750)^3 + (1347931773251456871952751)^3 + (-1704979714340395219810)^3 + (1704979714340394594785)^3
# largest_d_over_sqrt_log
rank	n	d	H	d_score	log10_H_over_n	line
1	936384844	5508491	307230620036198887600331929948719978247989064117127246230786295942	696481.657557	56.5160101216	936384844 = (307230620036198887600331929948719978247989064117127246230786295941)^3 + (-307230620036198887600331929948719978247989064117127246230786295942)^3 + (130902570640549046522477828192204284025431096946153142328348471)^3 + (-130902570640549046522477828192204284025431096946153142322839980)^3
2	630252220	5170439	18858029052501056	662214.501536	7.47598191636	630252220 = (-18858029052501056)^3 + (18858029052501055)^3 + (8293402178362)^3 + (-8293397007923)^3
